infinitive_spanish,infinitive_english,mood_spanish,mood_english,tense_spanish,tense_english,form_1ps_spanish,form_1ps_english,form_2ps_spanish,form_2ps_english,form_3ps_spanish,form_3ps_english,form_1pp_spanish,form_1pp_english,form_2pp_spanish,form_2pp_english,form_3pp_spanish,form_3pp_english,gerund_spanish,gerund_english,past_participle_spanish,past_participle_english
abandonar,"to abandon, leave behind, desert; to quit, give up",subjuntivo,subjunctive,presente,present,abandone,"I abandon, am abandoning",abandones,"you abandon, are abandoning",abandone,"he/she abandon, is abandoning",abandonemos,"we abandon, are abandoning",abandonéis,"you abandon, are abandoning",abandonen,"they abandon, are abandoning",abandonando,abandoning,abandonado,abandoned
abandonar,"to abandon, leave behind, desert; to quit, give up",subjuntivo,subjunctive,imperfecto,imperfect,abandonara,"I abandoned, was abandoning",abandonaras,"you abandoned, were abandoning",abandonara,"he/she abandoned, was abandoning",abandonáramos,"we abandoned, were abandoning",abandonarais,"you abandoned, were abandoning",abandonaran,"they abandoned, were abandoning",abandonando,abandoning,abandonado,abandoned
abandonar,"to abandon, leave behind, desert; to quit, give up",subjuntivo,subjunctive,futuro,future,abandonare,I will abandon,abandonares,you will abandon,abandonare,he/she will abandon,abandonáremos,we will abandon,abandonareis,you will abandon,abandonaren,they will abandon,abandonando,abandoning,abandonado,abandoned
abandonar,"to abandon, leave behind, desert; to quit, give up",subjuntivo,subjunctive,presente perfecto,present perfect,haya abandonado,"I have abandoned, abandoned",hayas abandonado,"you have abandoned, abandoned",haya abandonado,"he/she has abandoned, abandoned",hayamos abandonado,"we have abandoned, abandoned",hayáis abandonado,"you have abandoned, abandoned",hayan abandonado,"they have abandoned, abandoned",abandonando,abandoning,abandonado,abandoned
abandonar,"to abandon, leave behind, desert; to quit, give up",subjuntivo,subjunctive,futuro perfecto,future perfect,hubiere abandonado,I will have abandoned,hubieres abandonado,you will have abandoned,hubiere abandonado,he/she will has abandoned,hubiéremos abandonado,we will have abandoned,hubiereis abandonado,you will have abandoned,hubieren abandonado,they will have abandoned,abandonando,abandoning,abandonado,abandoned
abandonar,"to abandon, leave behind, desert; to quit, give up",subjuntivo,subjunctive,pluscuamperfecto,past perfect,hubiera abandonado,I had abandoned,hubieras abandonado,you had abandoned,hubiera abandonado,he/she had abandoned,hubiéramos abandonado,we had abandoned,hubierais abandonado,you had abandoned,hubieran abandonado,they had abandoned,abandonando,abandoning,abandonado,abandoned
abandonar,"to abandon, leave behind, desert; to quit, give up",imperativo_afirmativo,imperative_affirmative,presente,present,,,abandona,Abandon!,abandonad,,,,abandone,,abandonen,,abandonando,abandoning,abandonado,abandoned
abandonar,"to abandon, leave behind, desert; to quit, give up",imperativo_negativo,imperative_negative,presente,present,,,no abandones,Don't abandon!,no abandonéis,,,,no abandone,,no abandonen,,abandonando,abandoning,abandonado,abandoned
abordar,"to board, get on [plane, bus, etc.]; to approach, accost [a person]",indicativo,indicative,presente,present,abordo,"I board, am boarding",abordas,"you board, are boarding",aborda,"he/she board, is boarding",abordamos,"we board, are boarding",abordáis,"you board, are boarding",abordan,"they board, are boarding",abordando,boarding,abordado,boarded
abordar,"to board, get on [plane, bus, etc.]; to approach, accost [a person]",indicativo,indicative,futuro,future,abordaré,I will board,abordarás,you will board,abordará,he/she will board,abordaremos,we will board,abordaréis,you will board,abordarán,they will board,abordando,boarding,abordado,boarded
abordar,"to board, get on [plane, bus, etc.]; to approach, accost [a person]",indicativo,indicative,imperfecto,imperfect,abordaba,"I was boarding, used to board, boarded",abordabas,"you were boarding, used to board, boarded",abordaba,"he/she was boarding, used to board, boarded",abordábamos,"we were boarding, used to board, boarded",abordabais,"you were boarding, used to board, boarded",abordaban,"they were boarding, used to board, boarded",abordando,boarding,abordado,boarded
abordar,"to board, get on [plane, bus, etc.]; to approach, accost [a person]",indicativo,indicative,pretérito,preterite,abordé,I boarded,abordaste,you boarded,abordó,he/she boarded,abordamos,we boarded,abordasteis,you boarded,abordaron,they boarded,abordando,boarding,abordado,boarded
abordar,"to board, get on [plane, bus, etc.]; to approach, accost [a person]",indicativo,indicative,condicional,conditional,abordaría,I would board,abordarías,you would board,abordaría,he/she would board,abordaríamos,we would board,abordaríais,you would board,abordarían,they would board,abordando,boarding,abordado,boarded
abordar,"to board, get on [plane, bus, etc.]; to approach, accost [a person]",indicativo,indicative,presente perfecto,present perfect,he abordado,I have boarded,has abordado,you have boarded,ha abordado,he/she has boarded,hemos abordado,we have boarded,habéis abordado,you have boarded,han abordado,they have boarded,abordando,boarding,abordado,boarded
abordar,"to board, get on [plane, bus, etc.]; to approach, accost [a person]",indicativo,indicative,futuro perfecto,future perfect,habré abordado,I will have boarded,habrás abordado,you will have boarded,habrá abordado,he/she will has boarded,habremos abordado,we will have boarded,habréis abordado,you will have boarded,habrán abordado,they will have boarded,abordando,boarding,abordado,boarded
abordar,"to board, get on [plane, bus, etc.]; to approach, accost [a person]",indicativo,indicative,pluscuamperfecto,past perfect,había abordado,I had boarded,habías abordado,you had boarded,había abordado,he/she had boarded,habíamos abordado,we had boarded,habíais abordado,you had boarded,habían abordado,they had boarded,abordando,boarding,abordado,boarded
abordar,"to board, get on [plane, bus, etc.]; to approach, accost [a person]",indicativo,indicative,pretérito anterior,preterite (archaic),hube abordado,I had boarded,hubiste abordado,you had boarded,hubo abordado,he/she had boarded,hubimos abordado,we had boarded,hubisteis abordado,you had boarded,hubieron abordado,they had boarded,abordando,boarding,abordado,boarded
abordar,"to board, get on [plane, bus, etc.]; to approach, accost [a person]",indicativo,indicative,condicional perfecto,conditional perfect,habría abordado,I would have boarded,habrías abordado,you would have boarded,habría abordado,he/she would has boarded,habríamos abordado,we would have boarded,habríais abordado,you would have boarded,habrían abordado,they would have boarded,abordando,boarding,abordado,boarded
abordar,"to board, get on [plane, bus, etc.]; to approach, accost [a person]",subjuntivo,subjunctive,presente,present,aborde,"I board, am boarding",abordes,"you board, are boarding",aborde,"he/she board, is boarding",abordemos,"we board, are boarding",abordéis,"you board, are boarding",aborden,"they board, are boarding",abordando,boarding,abordado,boarded
abordar,"to board, get on [plane, bus, etc.]; to approach, accost [a person]",subjuntivo,subjunctive,imperfecto,imperfect,abordara,"I boarded, was boarding",abordaras,"you boarded, were boarding",abordara,"he/she boarded, was boarding",abordáramos,"we boarded, were boarding",abordarais,"you boarded, were boarding",abordaran,"they boarded, were boarding",abordando,boarding,abordado,boarded
abordar,"to board, get on [plane, bus, etc.]; to approach, accost [a person]",subjuntivo,subjunctive,futuro,future,abordare,I will board,abordares,you will board,abordare,he/she will board,abordáremos,we will board,abordareis,you will board,abordaren,they will board,abordando,boarding,abordado,boarded
abordar,"to board, get on [plane, bus, etc.]; to approach, accost [a person]",subjuntivo,subjunctive,presente perfecto,present perfect,haya abordado,"I have boarded, boarded",hayas abordado,"you have boarded, boarded",haya abordado,"he/she has boarded, boarded",hayamos abordado,"we have boarded, boarded",hayáis abordado,"you have boarded, boarded",hayan abordado,"they have boarded, boarded",abordando,boarding,abordado,boarded
abordar,"to board, get on [plane, bus, etc.]; to approach, accost [a person]",subjuntivo,subjunctive,futuro perfecto,future perfect,hubiere abordado,I will have boarded,hubieres abordado,you will have boarded,hubiere abordado,he/she will has boarded,hubiéremos abordado,we will have boarded,hubiereis abordado,you will have boarded,hubieren abordado,they will have boarded,abordando,boarding,abordado,boarded
abordar,"to board, get on [plane, bus, etc.]; to approach, accost [a person]",subjuntivo,subjunctive,pluscuamperfecto,past perfect,hubiera abordado,I had boarded,hubieras abordado,you had boarded,hubiera abordado,he/she had boarded,hubiéramos abordado,we had boarded,hubierais abordado,you had boarded,hubieran abordado,they had boarded,abordando,boarding,abordado,boarded
abordar,"to board, get on [plane, bus, etc.]; to approach, accost [a person]",imperativo_afirmativo,imperative_affirmative,presente,present,,,aborda,Board!,abordad,,,,aborde,,aborden,,abordando,boarding,abordado,boarded
abordar,"to board, get on [plane, bus, etc.]; to approach, accost [a person]",imperativo_negativo,imperative_negative,presente,present,,,no abordes,Don't board!,no abordéis,,,,no aborde,,no aborden,,abordando,boarding,abordado,boarded
abortar,"to abort, cause to miscarry; to have a miscarriage",indicativo,indicative,presente,present,aborto,"I abort, am aborting",abortas,"you abort, are aborting",aborta,"he/she abort, is aborting",abortamos,"we abort, are aborting",abortáis,"you abort, are aborting",abortan,"they abort, are aborting",abortando,aborting,abortado,aborted
abortar,"to abort, cause to miscarry; to have a miscarriage",indicativo,indicative,futuro,future,abortaré,I will abort,abortarás,you will abort,abortará,he/she will abort,abortaremos,we will abort,abortaréis,you will abort,abortarán,they will abort,abortando,aborting,abortado,aborted
abortar,"to abort, cause to miscarry; to have a miscarriage",indicativo,indicative,imperfecto,imperfect,abortaba,"I was aborting, used to abort, aborted",abortabas,"you were aborting, used to abort, aborted",abortaba,"he/she was aborting, used to abort, aborted",abortábamos,"we were aborting, used to abort, aborted",abortabais,"you were aborting, used to abort, aborted",abortaban,"they were aborting, used to abort, aborted",abortando,aborting,abortado,aborted
abortar,"to abort, cause to miscarry; to have a miscarriage",indicativo,indicative,pretérito,preterite,aborté,I aborted,abortaste,you aborted,abortó,he/she aborted,abortamos,we aborted,abortasteis,you aborted,abortaron,they aborted,abortando,aborting,abortado,aborted
abortar,"to abort, cause to miscarry; to have a miscarriage",indicativo,indicative,condicional,conditional,abortaría,I would abort,abortarías,you would abort,abortaría,he/she would abort,abortaríamos,we would abort,abortaríais,you would abort,abortarían,they would abort,abortando,aborting,abortado,aborted
abortar,"to abort, cause to miscarry; to have a miscarriage",indicativo,indicative,presente perfecto,present perfect,he abortado,I have aborted,has abortado,you have aborted,ha abortado,he/she has aborted,hemos abortado,we have aborted,habéis abortado,you have aborted,han abortado,they have aborted,abortando,aborting,abortado,aborted
abortar,"to abort, cause to miscarry; to have a miscarriage",indicativo,indicative,futuro perfecto,future perfect,habré abortado,I will have aborted,habrás abortado,you will have aborted,habrá abortado,he/she will has aborted,habremos abortado,we will have aborted,habréis abortado,you will have aborted,habrán abortado,they will have aborted,abortando,aborting,abortado,aborted
abortar,"to abort, cause to miscarry; to have a miscarriage",indicativo,indicative,pluscuamperfecto,past perfect,había abortado,I had aborted,habías abortado,you had aborted,había abortado,he/she had aborted,habíamos abortado,we had aborted,habíais abortado,you had aborted,habían abortado,they had aborted,abortando,aborting,abortado,aborted
abortar,"to abort, cause to miscarry; to have a miscarriage",indicativo,indicative,pretérito anterior,preterite (archaic),hube abortado,I had aborted,hubiste abortado,you had aborted,hubo abortado,he/she had aborted,hubimos abortado,we had aborted,hubisteis abortado,you had aborted,hubieron abortado,they had aborted,abortando,aborting,abortado,aborted
abortar,"to abort, cause to miscarry; to have a miscarriage",indicativo,indicative,condicional perfecto,conditional perfect,habría abortado,I would have aborted,habrías abortado,you would have aborted,habría abortado,he/she would has aborted,habríamos abortado,we would have aborted,habríais abortado,you would have aborted,habrían abortado,they would have aborted,abortando,aborting,abortado,aborted
abortar,"to abort, cause to miscarry; to have a miscarriage",subjuntivo,subjunctive,presente,present,aborte,"I abort, am aborting",abortes,"you abort, are aborting",aborte,"he/she abort, is aborting",abortemos,"we abort, are aborting",abortéis,"you abort, are aborting",aborten,"they abort, are aborting",abortando,aborting,abortado,aborted
abortar,"to abort, cause to miscarry; to have a miscarriage",subjuntivo,subjunctive,imperfecto,imperfect,abortara,"I aborted, was aborting",abortaras,"you aborted, were aborting",abortara,"he/she aborted, was aborting",abortáramos,"we aborted, were aborting",abortarais,"you aborted, were aborting",abortaran,"they aborted, were aborting",abortando,aborting,abortado,aborted
abortar,"to abort, cause to miscarry; to have a miscarriage",subjuntivo,subjunctive,futuro,future,abortare,I will abort,abortares,you will abort,abortare,he/she will abort,abortáremos,we will abort,abortareis,you will abort,abortaren,they will abort,abortando,aborting,abortado,aborted
abortar,"to abort, cause to miscarry; to have a miscarriage",subjuntivo,subjunctive,presente perfecto,present perfect,haya abortado,"I have aborted, aborted",hayas abortado,"you have aborted, aborted",haya abortado,"he/she has aborted, aborted",hayamos abortado,"we have aborted, aborted",hayáis abortado,"you have aborted, aborted",hayan abortado,"they have aborted, aborted",abortando,aborting,abortado,aborted
abortar,"to abort, cause to miscarry; to have a miscarriage",subjuntivo,subjunctive,futuro perfecto,future perfect,hubiere abortado,I will have aborted,hubieres abortado,you will have aborted,hubiere abortado,he/she will has aborted,hubiéremos abortado,we will have aborted,hubiereis abortado,you will have aborted,hubieren abortado,they will have aborted,abortando,aborting,abortado,aborted
abortar,"to abort, cause to miscarry; to have a miscarriage",subjuntivo,subjunctive,pluscuamperfecto,past perfect,hubiera abortado,I had aborted,hubieras abortado,you had aborted,hubiera abortado,he/she had aborted,hubiéramos abortado,we had aborted,hubierais abortado,you had aborted,hubieran abortado,they had aborted,abortando,aborting,abortado,aborted
abortar,"to abort, cause to miscarry; to have a miscarriage",imperativo_afirmativo,imperative_affirmative,presente,present,,,aborta,Abort!,abortad,,,,aborte,,aborten,,abortando,aborting,abortado,aborted
abortar,"to abort, cause to miscarry; to have a miscarriage",imperativo_negativo,imperative_negative,presente,present,,,no abortes,Don't abort!,no abortéis,,,,no aborte,,no aborten,,abortando,aborting,abortado,aborted
abrazar,"to hug, embrace",indicativo,indicative,presente,present,abrazo,"I hug, am hugging",abrazas,"you hug, are hugging",abraza,"he/she hug, is hugging",abrazamos,"we hug, are hugging",abrazáis,"you hug, are hugging",abrazan,"they hug, are hugging",abrazando,hugging,abrazado,hugged
abrazar,"to hug, embrace",indicativo,indicative,futuro,future,abrazaré,I will hug,abrazarás,you will hug,abrazará,he/she will hug,abrazaremos,we will hug,abrazaréis,you will hug,abrazarán,they will hug,abrazando,hugging,abrazado,hugged
abrazar,"to hug, embrace",indicativo,indicative,imperfecto,imperfect,abrazaba,"I was hugging, used to hug, hugged",abrazabas,"you were hugging, used to hug, hugged",abrazaba,"he/she was hugging, used to hug, hugged",abrazábamos,"we were hugging, used to hug, hugged",abrazabais,"you were hugging, used to hug, hugged",abrazaban,"they were hugging, used to hug, hugged",abrazando,hugging,abrazado,hugged
abrazar,"to hug, embrace",indicativo,indicative,pretérito,preterite,abracé,I hugged,abrazaste,you hugged,abrazó,he/she hugged,abrazamos,we hugged,abrazasteis,you hugged,abrazaron,they hugged,abrazando,hugging,abrazado,hugged
abrazar,"to hug, embrace",indicativo,indicative,condicional,conditional,abrazaría,I would hug,abrazarías,you would hug,abrazaría,he/she would hug,abrazaríamos,we would hug,abrazaríais,you would hug,abrazarían,they would hug,abrazando,hugging,abrazado,hugged
abrazar,"to hug, embrace",indicativo,indicative,presente perfecto,present perfect,he abrazado,I have hugged,has abrazado,you have hugged,ha abrazado,he/she has hugged,hemos abrazado,we have hugged,habéis abrazado,you have hugged,han abrazado,they have hugged,abrazando,hugging,abrazado,hugged
abrazar,"to hug, embrace",indicativo,indicative,futuro perfecto,future perfect,habré abrazado,I will have hugged,habrás abrazado,you will have hugged,habrá abrazado,he/she will has hugged,habremos abrazado,we will have hugged,habréis abrazado,you will have hugged,habrán abrazado,they will have hugged,abrazando,hugging,abrazado,hugged
abrazar,"to hug, embrace",indicativo,indicative,pluscuamperfecto,past perfect,había abrazado,I had hugged,habías abrazado,you had hugged,había abrazado,he/she had hugged,habíamos abrazado,we had hugged,habíais abrazado,you had hugged,habían abrazado,they had hugged,abrazando,hugging,abrazado,hugged
abrazar,"to hug, embrace",indicativo,indicative,pretérito anterior,preterite (archaic),hube abrazado,I had hugged,hubiste abrazado,you had hugged,hubo abrazado,he/she had hugged,hubimos abrazado,we had hugged,hubisteis abrazado,you had hugged,hubieron abrazado,they had hugged,abrazando,hugging,abrazado,hugged
abrazar,"to hug, embrace",indicativo,indicative,condicional perfecto,conditional perfect,habría abrazado,I would have hugged,habrías abrazado,you would have hugged,habría abrazado,he/she would has hugged,habríamos abrazado,we would have hugged,habríais abrazado,you would have hugged,habrían abrazado,they would have hugged,abrazando,hugging,abrazado,hugged
abrazar,"to hug, embrace",subjuntivo,subjunctive,presente,present,abrace,"I hug, am hugging",abraces,"you hug, are hugging",abrace,"he/she hug, is hugging",abracemos,"we hug, are hugging",abracéis,"you hug, are hugging",abracen,"they hug, are hugging",abrazando,hugging,abrazado,hugged
abrazar,"to hug, embrace",subjuntivo,subjunctive,imperfecto,imperfect,abrazara,"I hugged, was hugging",abrazaras,"you hugged, were hugging",abrazara,"he/she hugged, was hugging",abrazáramos,"we hugged, were hugging",abrazarais,"you hugged, were hugging",abrazaran,"they hugged, were hugging",abrazando,hugging,abrazado,hugged
abrazar,"to hug, embrace",subjuntivo,subjunctive,futuro,future,abrazare,I will hug,abrazares,you will hug,abrazare,he/she will hug,abrazáremos,we will hug,abrazareis,you will hug,abrazaren,they will hug,abrazando,hugging,abrazado,hugged
abrazar,"to hug, embrace",subjuntivo,subjunctive,presente perfecto,present perfect,haya abrazado,"I have hugged, hugged",hayas abrazado,"you have hugged, hugged",haya abrazado,"he/she has hugged, hugged",hayamos abrazado,"we have hugged, hugged",hayáis abrazado,"you have hugged, hugged",hayan abrazado,"they have hugged, hugged",abrazando,hugging,abrazado,hugged
abrazar,"to hug, embrace",subjuntivo,subjunctive,futuro perfecto,future perfect,hubiere abrazado,I will have hugged,hubieres abrazado,you will have hugged,hubiere abrazado,he/she will has hugged,hubiéremos abrazado,we will have hugged,hubiereis abrazado,you will have hugged,hubieren abrazado,they will have hugged,abrazando,hugging,abrazado,hugged
abrazar,"to hug, embrace",subjuntivo,subjunctive,pluscuamperfecto,past perfect,hubiera abrazado,I had hugged,hubieras abrazado,you had hugged,hubiera abrazado,he/she had hugged,hubiéramos abrazado,we had hugged,hubierais abrazado,you had hugged,hubieran abrazado,they had hugged,abrazando,hugging,abrazado,hugged
abrazar,"to hug, embrace",imperativo_afirmativo,imperative_affirmative,presente,present,,,abraza,Hug!,abrazad,,,,abrace,,abracen,,abrazando,hugging,abrazado,hugged
abrazar,"to hug, embrace",imperativo_negativo,imperative_negative,presente,present,,,no abraces,Don't hug!,no abracéis,,,,no abrace,,no abracen,,abrazando,hugging,abrazado,hugged
abrir,to open,indicativo,indicative,presente,present,abro,"I open, am opening",abres,"you open, are opening",abre,"he/she open, is opening",abrimos,"we open, are opening",abrís,"you open, are opening",abren,"they open, are opening",abriendo,opening,abierto,opened
abrir,to open,indicativo,indicative,futuro,future,abriré,I will open,abrirás,you will open,abrirá,he/she will open,abriremos,we will open,abriréis,you will open,abrirán,they will open,abriendo,opening,abierto,opened
abrir,to open,indicativo,indicative,imperfecto,imperfect,abría,"I was opening, used to open, opened",abrías,"you were opening, used to open, opened",abría,"he/she was opening, used to open, opened",abríamos,"we were opening, used to open, opened",abríais,"you were opening, used to open, opened",abrían,"they were opening, used to open, opened",abriendo,opening,abierto,opened
abrir,to open,indicativo,indicative,pretérito,preterite,abrí,I opened,abriste,you opened,abrió,he/she opened,abrimos,we opened,abristeis,you opened,abrieron,they opened,abriendo,opening,abierto,opened
abrir,to open,indicativo,indicative,condicional,conditional,abriría,I would open,abrirías,you would open,abriría,he/she would open,abriríamos,we would open,abriríais,you would open,abrirían,they would open,abriendo,opening,abierto,opened
abrir,to open,indicativo,indicative,presente perfecto,present perfect,he abierto,I have opened,has abierto,you have opened,ha abierto,he/she has opened,hemos abierto,we have opened,habéis abierto,you have opened,han abierto,they have opened,abriendo,opening,abierto,opened
abrir,to open,indicativo,indicative,futuro perfecto,future perfect,habré abierto,I will have opened,habrás abierto,you will have opened,habrá abierto,he/she will has opened,habremos abierto,we will have opened,habréis abierto,you will have opened,habrán abierto,they will have opened,abriendo,opening,abierto,opened
abrir,to open,indicativo,indicative,pluscuamperfecto,past perfect,había abierto,I had opened,habías abierto,you had opened,había abierto,he/she had opened,habíamos abierto,we had opened,habíais abierto,you had opened,habían abierto,they had opened,abriendo,opening,abierto,opened
abrir,to open,indicativo,indicative,pretérito anterior,preterite (archaic),hube abierto,I had opened,hubiste abierto,you had opened,hubo abierto,he/she had opened,hubimos abierto,we had opened,hubisteis abierto,you had opened,hubieron abierto,they had opened,abriendo,opening,abierto,opened
abrir,to open,indicativo,indicative,condicional perfecto,conditional perfect,habría abierto,I would have opened,habrías abierto,you would have opened,habría abierto,he/she would has opened,habríamos abierto,we would have opened,habríais abierto,you would have opened,habrían abierto,they would have opened,abriendo,opening,abierto,opened
abrir,to open,subjuntivo,subjunctive,presente,present,abra,"I open, am opening",abras,"you open, are opening",abra,"he/she open, is opening",abramos,"we open, are opening",abráis,"you open, are opening",abran,"they open, are opening",abriendo,opening,abierto,opened
abrir,to open,subjuntivo,subjunctive,imperfecto,imperfect,abriera,"I opened, was opening",abrieras,"you opened, were opening",abriera,"he/she opened, was opening",abriéramos,"we opened, were opening",abrierais,"you opened, were opening",abrieran,"they opened, were opening",abriendo,opening,abierto,opened
abrir,to open,subjuntivo,subjunctive,futuro,future,abriere,I will open,abrieres,you will open,abriere,he/she will open,abriéremos,we will open,abriereis,you will open,abrieren,they will open,abriendo,opening,abierto,opened
abrir,to open,subjuntivo,subjunctive,presente perfecto,present perfect,haya abierto,"I have opened, opened",hayas abierto,"you have opened, opened",haya abierto,"he/she has opened, opened",hayamos abierto,"we have opened, opened",hayáis abierto,"you have opened, opened",hayan abierto,"they have opened, opened",abriendo,opening,abierto,opened
abrir,to open,subjuntivo,subjunctive,futuro perfecto,future perfect,hubiere abierto,I will have opened,hubieres abierto,you will have opened,hubiere abierto,he/she will has opened,hubiéremos abierto,we will have opened,hubiereis abierto,you will have opened,hubieren abierto,they will have opened,abriendo,opening,abierto,opened
abrir,to open,subjuntivo,subjunctive,pluscuamperfecto,past perfect,hubiera abierto,I had opened,hubieras abierto,you had opened,hubiera abierto,he/she had opened,hubiéramos abierto,we had opened,hubierais abierto,you had opened,hubieran abierto,they had opened,abriendo,opening,abierto,opened
abrir,to open,imperativo_afirmativo,imperative_affirmative,presente,present,,,abre,Open!,abrid,,,,abra,,abran,,abriendo,opening,abierto,opened
abrir,to open,imperativo_negativo,imperative_negative,presente,present,,,no abras,Don't open!,no abráis,,,,no abra,,no abran,,abriendo,opening,abierto,opened
aburrir,"to bore; to tire, weary",indicativo,indicative,presente,present,aburro,"I bore, am boring",aburres,"you bore, are boring",aburre,"he/she bore, is boring",aburrimos,"we bore, are boring",aburrís,"you bore, are boring",aburren,"they bore, are boring",aburriendo,boring,aburrido,bored
aburrir,"to bore; to tire, weary",indicativo,indicative,futuro,future,aburriré,I will bore,aburrirás,you will bore,aburrirá,he/she will bore,aburriremos,we will bore,aburriréis,you will bore,aburrirán,they will bore,aburriendo,boring,aburrido,bored
aburrir,"to bore; to tire, weary",indicativo,indicative,imperfecto,imperfect,aburría,"I was boring, used to bore, bored",aburrías,"you were boring, used to bore, bored",aburría,"he/she was boring, used to bore, bored",aburríamos,"we were boring, used to bore, bored",aburríais,"you were boring, used to bore, bored",aburrían,"they were boring, used to bore, bored",aburriendo,boring,aburrido,bored
aburrir,"to bore; to tire, weary",indicativo,indicative,pretérito,preterite,aburrí,I bored,aburriste,you bored,aburrió,he/she bored,aburrimos,we bored,aburristeis,you bored,aburrieron,they bored,aburriendo,boring,aburrido,bored
aburrir,"to bore; to tire, weary",indicativo,indicative,condicional,conditional,aburriría,I would bore,aburrirías,you would bore,aburriría,he/she would bore,aburriríamos,we would bore,aburriríais,you would bore,aburrirían,they would bore,aburriendo,boring,aburrido,bored
aburrir,"to bore; to tire, weary",indicativo,indicative,presente perfecto,present perfect,he aburrido,I have bored,has aburrido,you have bored,ha aburrido,he/she has bored,hemos aburrido,we have bored,habéis aburrido,you have bored,han aburrido,they have bored,aburriendo,boring,aburrido,bored
aburrir,"to bore; to tire, weary",indicativo,indicative,futuro perfecto,future perfect,habré aburrido,I will have bored,habrás aburrido,you will have bored,habrá aburrido,he/she will has bored,habremos aburrido,we will have bored,habréis aburrido,you will have bored,habrán aburrido,they will have bored,aburriendo,boring,aburrido,bored
aburrir,"to bore; to tire, weary",indicativo,indicative,pluscuamperfecto,past perfect,había aburrido,I had bored,habías aburrido,you had bored,había aburrido,he/she had bored,habíamos aburrido,we had bored,habíais aburrido,you had bored,habían aburrido,they had bored,aburriendo,boring,aburrido,bored
